configure-before-baseline	fault-configuration	fault-assertions
correction	correction-operation	HEALTHY_RETRY
correction-after	inventory	HEALTHY_RETRY
durability-reopen	reopen	all
fault	fault-operation	fault-assertions
fault-after	health	fault-assertions
fault-before	health	fault-assertions
form	action	COMPLETE_AVAILABLE|INCOMPLETE_AS_COMPLETE
initial-form	action	HEALTHY_RETRY
reopened	resolution	all
retry	action	HEALTHY_RETRY|POISONED_RETRY
retry-after	inventory	HEALTHY_RETRY|POISONED_RETRY
retry-commit	health	POISONED_RETRY
retry-reopen	reopen	POISONED_RETRY
retry-success	resolution	HEALTHY_RETRY|POISONED_RETRY
rollback-after	inventory	failed-actions
setup	setup-operation	all
setup-before	inventory	all
success	resolution	COMPLETE_AVAILABLE
success-after	inventory	COMPLETE_AVAILABLE
unavailable	resolution	failed-actions
