010	create	profile-create-namespace	normal	command-receipt
020	setup	sut-setup-bc03	ordinary	action-receipt
030	inventory-before	profile-inventory-bc03	ordinary	inventory-before
040	action	case-action	case-mode	action-receipt
050	observe-after	profile-observe-bc03	ordinary	raw-observation
060	inventory-after	profile-inventory-bc03	ordinary	inventory-after
070	reopen	profile-reopen-namespace	normal	command-receipt
080	inventory-reopened	profile-inventory-bc03	ordinary	inventory-reopened
090	destroy	profile-destroy-namespace	normal	command-receipt
100	normalize	runner-normalize-bc03	ordinary	normalized-observation
110	oracle	runner-oracle-bc03	ordinary	oracle-result
