inventory-repository	inventory	6	set	role-reference-field
norm-bc01-observation	normalized	6	bag	scenario-relation-sequence
norm-bc02-observation	normalized	6	set	scenario-relation-subject
norm-bc03-observation	normalized	6	set	scenario-relation-subject
norm-bc04-observation	normalized	6	set	scenario-relation-subject
norm-bc05-observation	normalized	6	set	scenario-relation-role
norm-bc06-observation	normalized	6	set	scenario-relation-axis
norm-bc07-observation	normalized	6	set	scenario-relation-axis
norm-bc08-observation	normalized	6	set	scenario-relation-artifact
norm-bc09-observation	normalized	6	bag	scenario-relation-outcome
norm-bc10-observation	normalized	6	set	scenario-surface-member
norm-bc11-observation	normalized	6	set	scenario-relation-member
norm-bc12-observation	normalized	6	set	scenario-relation-object
raw-bc01-observation	raw	6	bag	source-table-sequence
raw-bc02-observation	raw	6	bag	source-table-sequence
raw-bc03-observation	raw	6	bag	source-table-sequence
raw-bc04-observation	raw	6	bag	source-table-sequence
raw-bc05-observation	raw	6	bag	source-table-sequence
raw-bc06-observation	raw	6	bag	source-table-sequence
raw-bc07-observation	raw	6	bag	source-table-sequence
raw-bc08-observation	raw	6	bag	source-table-sequence
raw-bc09-observation	raw	6	bag	source-table-sequence
raw-bc10-observation	raw	6	bag	source-table-sequence
raw-bc11-observation	raw	6	bag	source-table-sequence
raw-bc12-observation	raw	6	bag	source-table-sequence
